chapter_number,verse_number,verse_id,verse_id_arabic,chapter_verses,chapter_title_english,chapter_title_arabic,chapter_title_persian,verse_subtitle_english,verse_text_persian,verse_text_english,verse_footnote_english
1,1,1:1,١:١,7,The Key,الفاتحة,کليد,,به نام خدا، بخشنده ترين، مهربان ترين.*,"In the name of GOD, Most Gracious, Most Merciful.*","*1:1 The first verse in the Quran represents the foundation upon which a superhuman 19-based mathematical miracle is built. This important statement consists of 19 Arabic letters, and every word in it occurs in the whole Quran in multiples of 19 (see Appendices 1 & 29 for the details)."
1,2,1:2,٢:١,7,The Key,الفاتحة,کليد,,ستايش خدای راست، پروردگار عالم.,"Praise be to GOD, Lord of the universe.",
1,3,1:3,٣:١,7,The Key,الفاتحة,کليد,,بخشنده ترين، مهربان ترين.,"Most Gracious, Most Merciful.",
1,4,1:4,٤:١,7,The Key,الفاتحة,کليد,,صاحب اختيار روز داورى.,Master of the Day of Judgment.,
1,5,1:5,٥:١,7,The Key,الفاتحة,کليد,,تنها تو را مى پرستيم؛ تنها از تو يارى مى خواهيم.,You alone we worship; You alone we ask for help.,
1,6,1:6,٦:١,7,The Key,الفاتحة,کليد,,ما را در راه راست هدايت فرما؛,Guide us in the right path;,
1,7,1:7,٧:١,7,The Key,الفاتحة,کليد,,راه کسانى که به آنها نعمت داده اى؛ نه آنان که سزاوار خشم شدەاند و نه گمراهان.,"the path of those whom You blessed; not of those who have deserved wrath, nor of the strayers.","*1:1-7 Sura 1 is God's gift to us to establish contact with Him through the daily Contact Prayers. This fact is supported by an earth-shattering, simple-to-understand-but-impossible-to-imitate mathematical composition that challenges the greatest mathematicians on earth, and stumps them; it is far beyond human capabilities:





(1) The sura number, followed by the numbers of verses, next to each other, give 1 1 2 3 4 5 6 7. This number is a multiple of 19.





(2) If we substitute the number of letters per verse in place of verse numbers, we get 1 19 17 12 11 19 18 43. This number is also a multiple of 19.





(3) If we insert the total gematrical value of every verse, we get 1 19 786 17 581 12 618 11 241 19 836 18 1072 43 6009. This number is a multiple of 19.





(4) The number shown above includes all parameters of Sura 1, and consists of 38 digits (19x2).





(5) It is noteworthy that this 38-digit number is still divisible by 19 when we write its components backwards, from right to left as practiced by the Arabs. Thus, 6009 43 1072 18 836 19 241 11 618 12 581 17 786 19 1 is also a multiple of 19.





(6) The mathematical representations mentioned above participate in numerous extraordinary mathematical phenomena to confirm all details of the five daily Contact Prayers (Appendix 15).





(7) Many more astounding phenomena are given in Appendix One. Thus, the reader is handed at the outset tangible proof that this is God's message to the world."
2,0,2:0,٠:٢,286,The Heifer,البقرة,ماده گاو,,به نام خدا، بخشنده ترين، مهربان ترين.,"In the name of God, Most Gracious, Most Merciful.",
2,1,2:1,١:٢,286,The Heifer,البقرة,ماده گاو,,ا. ل. م.*,A. L. M.*,"*2:1 These initials remained a divinely guarded secret for 1400 years. Now we recognize them as a major component of the Quran's mathematical miracle (see Appendices 1, 2, 24, and 26). The meaning of A.L.M. is pointed out in Verse 2: ""This scripture is infallible."" This is incontrovertibly proven by the fact that the frequencies of occurrence of these three initials in this sura are 4502, 3202, and 2195, respectively. The sum of these numbers is 9899, or 19x521. Thus, these most frequent letters of the Arabic language are mathematically placed according to a super-human pattern. These same initials also prefix Suras 3, 29, 30, 31, and 32, and their frequencies of occurrence add up to multiples of 19 in each one of these suras."
2,2,2:2,٢:٢,286,The Heifer,البقرة,ماده گاو,,اين کتاب آسمانى اشتباه ناپذير است؛ رهنمودى براى پرهيزكاران؛,This scripture is infallible; a beacon for the righteous;,
2,3,2:3,٣:٢,286,The Heifer,البقرة,ماده گاو,Three Categories of People (1) The Righteous,کسانى که به غيب ايمان دارند و نمازها (ارتباط با خدا)* را به جا می آورند و از آنچه به آنها روزى مى دهيم،** انفاق مى کنند.,"who believe in the unseen, observe the Contact Prayers (Salat),* and from our** provisions to them, they give to charity.","*2:3 Since the Contact Prayers are decreed five times a day, they constitute the prime source of nourishment for our souls. Along with all other practices in Submission, the Contact Prayers were originally revealed through Abraham (21:73, 22:78). Although these five daily prayers were practiced before the revelation of the Quran, each Contact Prayer is specifically mentioned in the Quran (24:58, 11:114, 17:78, & 2:238). Appendices 1 & 15 provide physical evidence supporting all the details of the Contact Prayers, including the number of units (Rak'aas) and the numbers of bowings, prostrations, and Tashahhuds in each prayer.





**2:3 When God uses the plural tense, this indicates that other entities, usually the angels, are involved. When God spoke to Moses, the singular form was used (20:12- 14). See Appendix 10."
2,4,2:4,٤:٢,286,The Heifer,البقرة,ماده گاو,,و به آنچه بر تو نازل شد و به آنچه پيش از تو نازل شد، ايمان مى آورند و به آخرت کاملاً يقين دارند.*,"And they believe in what was revealed to you, and in what was revealed before you,* and with regard to the Hereafter, they are absolutely certain.","*2:4 Despite severe distortions that afflicted the previous scriptures, God's truth can still be found in them. Both the Old Testament and the New Testament still advocate absolute devotion to God ALONE (Deuteronomy 6:4-5, Mark 12:29-30). All distortions are easily detectable."
2,5,2:5,٥:٢,286,The Heifer,البقرة,ماده گاو,,اينان از جانب پروردگارشان هدايت شده اند؛ اينان برندگانند.,These are guided by their Lord; these are the winners.,
2,6,2:6,٦:٢,286,The Heifer,البقرة,ماده گاو,(2) The Disbelievers,و اما کسانى که باور ندارند، برايشان يکسان است؛ چه به آنها هشدار بدهى، يا ندهى، نمى توانند ايمان بياورند.*,"As for those who disbelieve, it is the same for them; whether you warn them, or not warn them, they cannot believe.*",*2:6-7 Those who make a decision to reject God are helped in that direction; they are prevented by God from seeing any proof or guidance for as long as they maintain such a decision. The consequences of such a disastrous decision are spelled out in Verse 7.
2,7,2:7,٧:٢,286,The Heifer,البقرة,ماده گاو,,خدا بر افکار و شنوايى شان مهر مى زند و بر چشمانشان پرده اى است. آنان سزاوار مجازاتى سخت شده اند.,"GOD seals their minds and their hearing, and their eyes are veiled. They have incurred severe retribution.",
